produto,categoria,estoque_inicial,vendas_do_mes,custo_unitario,preco_venda
Cimento Comum,Hidráulica,587,308,463.64,642.12
Telha de Zinco Refinada,Hidráulica,452,353,36.25,82.17
Telha Cerâmica Refinada,Hidráulica,784,297,315.74,437.58
Telha Cerâmica Industrial,Hidráulica,58,449,76.59,110.87
Bloco de Concreto Premium,Hidráulica,537,29,254.43,348.21
Bloco de Concreto Industrial,Elétrica,154,8,82.09,108.47
Telha Cerâmica Extra,Acabamento,349,474,68.4,166.53
Areia Industrial,Hidráulica,771,169,11.02,21.41
Lâmpada LED Comercial,Estrutura,864,289,316.97,631.71
Parafuso Comum,Estrutura,363,167,182.72,445.12
Tinta Acrílica Comercial,Estrutura,84,343,57.07,81.2
Parafuso Residencial,Estrutura,811,496,164.8,182.65
Parafuso Reforçada,Elétrica,938,144,88.63,171.8
Brita Refinada,Estrutura,803,412,471.14,853.23
Janela de Alumínio Extra,Hidráulica,587,227,163.4,289.01
Fio Elétrico Residencial,Iluminação,646,305,170.31,202.1
Fio Elétrico Refinada,Estrutura,328,75,420.73,730.48
Brita Residencial,Elétrica,96,222,325.64,489.3
Canos PVC Comercial,Elétrica,562,176,356.53,529.23
Porta de Madeira Premium,Estrutura,991,456,319.82,451.37
Tomada Refinada,Iluminação,707,188,473.37,741.08
Tinta Acrílica Refinada,Estrutura,875,466,107.47,171.35
Interruptor Comum,Elétrica,901,301,494.57,757.82
Canos PVC Extra,Acabamento,856,45,416.32,1028.42
Telha Cerâmica Comum,Hidráulica,787,381,296.54,713.42
Canos PVC Premium,Elétrica,792,16,332.87,633.89
Janela de Alumínio Refinada,Estrutura,51,65,326.17,806.77
Telha Cerâmica Residencial,Hidráulica,102,359,33.91,84.36
Argamassa Extra,Estrutura,706,260,112.92,180.48
Cimento Reforçada,Estrutura,736,122,480.93,828.77
Madeira Serrada Refinada,Acabamento,516,230,269.51,658.33
Madeira Serrada Comercial,Hidráulica,538,437,192.29,375.36
Fio Elétrico Premium,Hidráulica,965,124,382.21,534.37
Telha de Zinco Comercial,Acabamento,274,111,264.64,546.52
Areia Reforçada,Elétrica,635,271,11.52,15.99
Tomada Comercial,Estrutura,301,80,369.44,581.91
Tijolo Refinada,Iluminação,978,245,367.45,521.26
Madeira Serrada Residencial,Estrutura,473,346,86.75,125.18
Areia Residencial,Estrutura,813,390,478.55,529.52
Tijolo Comum,Elétrica,569,499,115.83,270.23
Rejunte Comum,Estrutura,828,391,231.59,350.72
Parafuso Industrial,Acabamento,106,327,61.79,75.44
Tomada Comum,Acabamento,896,214,303.62,370.96
Janela de Alumínio Reforçada,Hidráulica,104,351,190.85,358.5
Tinta Acrílica Premium,Iluminação,335,234,179.82,447.77
Porta de Madeira Extra,Estrutura,83,366,414.35,539.91
Brita Comum,Estrutura,345,81,9.73,12.06
Argamassa Refinada,Elétrica,77,293,399.98,685.42
Telha de Zinco Premium,Acabamento,767,309,287.87,543.69
Parafuso Premium,Iluminação,927,75,493.12,745.66
Telha de Zinco Residencial,Hidráulica,86,14,296.77,452.14
Telha Cerâmica Comercial,Acabamento,217,219,32.41,54.91
Interruptor Refinada,Hidráulica,893,229,30.07,46.3
Madeira Serrada Comum,Elétrica,775,433,442.16,1052.99
Prego Comercial,Elétrica,230,439,421.4,488.29
Areia Comercial,Estrutura,271,478,176.22,251.71
Fio Elétrico Extra,Iluminação,419,371,310.93,693.99
Parafuso Refinada,Hidráulica,340,264,247.35,560.88
Tomada Premium,Acabamento,353,263,483.75,607.68
Tomada Reforçada,Elétrica,998,109,475.23,1170.62
Lâmpada LED Premium,Estrutura,780,402,492.0,1018.78
Madeira Serrada Industrial,Estrutura,829,306,433.89,642.86
Telha de Zinco Industrial,Hidráulica,83,199,455.23,791.4
Lâmpada LED Industrial,Elétrica,646,225,112.55,170.63
Argamassa Residencial,Iluminação,709,184,416.35,545.43
Interruptor Industrial,Elétrica,263,451,355.88,536.54
Prego Premium,Hidráulica,968,30,481.58,920.84
Porta de Madeira Residencial,Hidráulica,842,101,287.77,649.31
Janela de Alumínio Comum,Elétrica,829,258,47.16,75.88
Brita Industrial,Hidráulica,756,98,300.71,477.25
Cimento Extra,Elétrica,995,338,344.86,605.3
Cimento Comercial,Acabamento,771,298,114.06,228.39
Janela de Alumínio Residencial,Elétrica,341,284,200.09,430.65
Cimento Industrial,Elétrica,407,265,301.26,469.22
Canos PVC Residencial,Hidráulica,354,139,190.18,365.32
Brita Extra,Hidráulica,593,301,190.6,313.56
Fio Elétrico Comercial,Estrutura,756,285,70.88,149.06
Telha de Zinco Comum,Estrutura,845,349,470.67,626.25
Bloco de Concreto Extra,Acabamento,677,465,376.49,549.56
Lâmpada LED Comum,Estrutura,464,215,5.62,9.53
Rejunte Industrial,Elétrica,915,31,383.98,900.5
Interruptor Premium,Hidráulica,124,456,371.2,706.27
Argamassa Reforçada,Estrutura,322,302,9.82,24.07
Canos PVC Comum,Estrutura,237,87,187.95,233.92
Madeira Serrada Premium,Acabamento,843,62,305.34,532.59
Parafuso Extra,Acabamento,867,409,229.11,386.44
Argamassa Comum,Elétrica,254,386,390.1,756.91
Rejunte Premium,Hidráulica,827,278,215.6,482.24
Tijolo Extra,Acabamento,535,458,81.16,184.88
Cimento Premium,Estrutura,537,73,488.33,995.35
Brita Comercial,Hidráulica,959,305,124.81,249.39
Prego Comum,Hidráulica,436,419,360.26,874.94
Rejunte Extra,Estrutura,51,123,75.86,124.2
Janela de Alumínio Comercial,Acabamento,474,268,167.86,380.35
Porta de Madeira Comum,Estrutura,631,381,223.8,534.91
Areia Refinada,Hidráulica,287,284,100.15,179.08
Tinta Acrílica Comum,Iluminação,845,421,227.73,482.96
Prego Refinada,Iluminação,28,460,82.8,134.78
Argamassa Industrial,Elétrica,75,120,281.71,372.54
Interruptor Extra,Estrutura,176,345,333.54,640.77
Prego Residencial,Estrutura,594,211,35.9,49.36
Interruptor Residencial,Elétrica,412,388,436.21,759.28
Areia Extra,Elétrica,921,147,96.64,224.4
Cimento Refinada,Elétrica,831,77,116.55,142.24
Lâmpada LED Extra,Hidráulica,418,364,332.37,379.77
Fio Elétrico Comum,Estrutura,121,13,237.03,461.99
Interruptor Comercial,Hidráulica,283,135,252.2,394.31
Bloco de Concreto Comercial,Elétrica,416,303,68.44,115.33
Bloco de Concreto Residencial,Estrutura,382,396,403.84,673.6
Fio Elétrico Industrial,Hidráulica,606,279,310.44,379.13
Rejunte Refinada,Hidráulica,660,78,72.01,79.57
Canos PVC Refinada,Elétrica,48,242,190.13,448.29
Telha de Zinco Reforçada,Estrutura,114,192,406.15,570.61
Areia Premium,Elétrica,333,469,286.34,485.78
Tinta Acrílica Reforçada,Estrutura,802,417,58.78,144.64
Lâmpada LED Reforçada,Iluminação,968,241,189.52,427.84
Argamassa Comercial,Acabamento,423,50,125.13,156.55
Canos PVC Industrial,Acabamento,438,231,261.15,473.18
Rejunte Comercial,Acabamento,644,258,422.46,896.51
Bloco de Concreto Comum,Elétrica,739,383,220.95,459.08
Cimento Residencial,Iluminação,898,374,219.5,475.26
